nazwa,dzielnica,pokoj,metry,cena_metr,cena
"Kraków, Kraków-Krowodrza, Wola-Justowska, ul.Nad Z"," Kraków, Wola Justowska",5 pokoi,"111,52 m²",7 263 zł/m²,810000zł
Białe Piaski Apartamenty 5.1 105m2," Kraków, Bronowice Wielkie",4 pokoje,"104,59 m²",6 999 zł/m²,732000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Super Apartament Do Inwestycji /Garaż - Pawia," Kraków, Stare Miasto",2 pokoje,"60,50 m²",12 545 zł/m²,759000zł
Krowodrza trzypokojowy apartament z garażem," Kraków, Krowodrza",3 pokoje,65 m²,13 077 zł/m²,850000zł
Apartament - Wola Justowska - Garaż - Okazja," Kraków, Zwierzyniec",2 pokoje,"83,75 m²",9 552 zł/m²,800000zł
Ustawne mieszkanie z widokiem Bronowice," Kraków, Bronowice",4 pokoje,92 m²,9 671 zł/m²,"889727,68zł"
Dwupoziomowy apart. przy Wiśle-alternatywa domu!," Kraków, Dębniki",4 pokoje,"85,50 m²",9 399 zł/m²,803600zł
"Kraków, Kraków-Krowodrza, Wola-Justowska, ul.Nad Z"," Kraków, Wola Justowska",5 pokoi,"111,52 m²",7 263 zł/m²,810000zł
Stare Miesto/Pawia Idealne+Garaż Super Inwestycja," Kraków, Stare Miasto",2 pokoje,"58,50 m²",14 906 zł/m²,872000zł
Mieszkanie 3 Pokoje 83m Stare Podgórze Po Remoncie," Kraków, Stare Podgórze",3 pokoje,"83,29 m²",9 866 zł/m²,821700zł
"Bronowice,ul.Wesele. 108m, garaż,komórka. Umów się"," Kraków, Krowodrza",3 pokoje,108 m²,7 685 zł/m²,830000zł
"Mieszkanie, 115 m², Kraków"," Kraków, Krowodrza Górka",4 pokoje,115 m²,7 391 zł/m²,850000zł
"Zachwycający widok, mieszkanie po remoncie"," Kraków, Salwator",3 pokoje,"78,30 m²",10 345 zł/m²,810000zł
Mieszkanie w centrum Krakowa z tarasem," Kraków, Grzegórzki",3 pokoje,"69,79 m²",12 890 zł/m²,899593zł
Apartament z widokiem na Planty!!!!!," Kraków, Stare Miasto",2 pokoje,"42,30 m²",19 900 zł/m²,841770zł
Apartament 5 pokojowy z krakowską duszą!!!," Kraków, Stare Podgórze",5 pokoi,105 m²,8 476 zł/m²,890000zł
"4 pokojowe, 84m2, Salwator, Królowej Jadwigi"," Kraków, Salwator",4 pokoje,"83,75 m²",9 552 zł/m²,800000zł
"Mieszkanie, 64 m², Kraków"," Kraków, Stare Miasto",2 pokoje,64 m²,13 000 zł/m²,832000zł
Prestiżowa Lokalizacja Do Zamieszkania/Garaż/Pawia," Kraków, Stare Miasto",2 pokoje,64 m²,13 125 zł/m²,840000zł
ul. Długa - rejon," Kraków, Kleparz",4 pokoje,90 m²,9 889 zł/m²,890000zł
2 POK. | Piłsudskiego | Stare Miasto | 43m2 |," Kraków, Stare Miasto",2 pokoje,43 m²,19 576 zł/m²,841770zł
Apartament Topolowa bez prowizji," Kraków, małopolskie",3 pokoje,"78,50 m²",10 828 zł/m²,850000zł
Apartament w centrum Kazimierza," Kraków, Kazimierz",2 pokoje,70 m²,12 714 zł/m²,890000zł
"2 pok apartament, sprzedaż, Stare Miasto Kraków"," Kraków, Stare Miasto",2 pokoje,"58,47 m²",14 914 zł/m²,872000zł
"Mieszkanie, 58,47 m², Kraków"," Kraków, Stare Miasto",2 pokoje,"58,47 m²",14 914 zł/m²,872000zł
2 pokojowy Aparatment w Centrum," Kraków, Stare Miasto",2 pokoje,"58,47 m²",14 914 zł/m²,872000zł
Ostatnie mieszkanie!! Piłsudskiego," Kraków, Stare Miasto",2 pokoje,"42,30 m²",19 900 zł/m²,841770zł
stylowy i gustowny apartament z 2 garażami," Kraków, Dębniki",4 pokoje,"139,10 m²",6 398 zł/m²,890000zł
"Na sprzedaż klimatyczne poddasze, Stare Podgórze"," Kraków, małopolskie",2 pokoje,"86,40 m²",9 838 zł/m²,850000zł
"Krowodrza - Łobzów, Luksusowe Nowoczesne Ciche"," Kraków, Łobzów",4 pokoje,"103,17 m²",8 723 zł/m²,900000zł
Super Apartament Do Inwestycji /Garaż - Pawia," Kraków, Stare Miasto",2 pokoje,"60,50 m²",12 545 zł/m²,759000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
"Bronowice,ul.Wesele. 108m, garaż,komórka. Umów się"," Kraków, Krowodrza",3 pokoje,108 m²,7 685 zł/m²,830000zł
