nazwa,dzielnica,pokoj,metry,cena_metr,cena
"Mieszkanie 2 pok, 38m, Cieplińskiego, Centrum"," Kraków, Śródmieście",2 pokoje,38 m²,7 342 zł/m²,279000zł
Kawalerka 32m2 Stare Podgórze - od własciciela," Kraków, Stare Podgórze",1 pokój,32 m²,11 406 zł/m²,365000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Sprzedam mieszkanie," Kraków, Mistrzejowice",2 pokoje,43 m²,8 372 zł/m²,360000zł
Przytulne 2 Oddzielne Pokoje | - Willa Wego 2016," Kraków, Krowodrza",2 pokoje,50 m²,8 400 zł/m²,420000zł
"Apartamenty Dworska, Kameralna inwestycja Promocja"," Kraków, małopolskie",3 pokoje,"66,30 m²",7 700 zł/m²,510510zł
Kawalerka 32m2 Stare Podgórze - od własciciela," Kraków, Stare Podgórze",1 pokój,32 m²,11 406 zł/m²,365000zł
"Mieszkanie 2 pok, 38m, Cieplińskiego, Centrum"," Kraków, Śródmieście",2 pokoje,38 m²,7 342 zł/m²,279000zł
"Mieszkanie 2 pok, 37m, Miłkowskiego"," Kraków, Podgórze",2 pokoje,37 m²,8 649 zł/m²,320000zł
"Mieszkanie 1 pok, 26m, ul.Klonowica, Wola Duchacka"," Kraków, Podgórze",1 pokój,26 m²,9 231 zł/m²,240000zł
"Mieszkanie 2 pok, 35m, Radzikowskiego, Azory"," Kraków, Krowodrza",2 pokoje,35 m²,9 400 zł/m²,329000zł
"Mieszkanie 2 pok, 36 m2, Osiedle Kazimierzowskie"," Kraków, Nowa Huta",2 pokoje,"36,40 m²",6 291 zł/m²,229000zł
"Mieszkanie 3 pok, 60m2 Krowodrza, Radzikowskiego"," Kraków, Krowodrza",3 pokoje,60 m²,6 967 zł/m²,418000zł
"Mieszkanie 2 pok, 38m, Prądnik Biały."," Kraków, Krowodrza",1 pokój,"38,20 m²",7 827 zł/m²,299000zł
"Mieszkanie 2 pok, Łagiewniki Borek Fałęcki"," Kraków, Podgórze",2 pokoje,31 m²,8 645 zł/m²,268000zł
